"","RespondentID","CollectorID","StartDate","EndDate","IP.Address","Age","country","gender","past_chatt","past_streaming_video","past_robot","en_communication","en_programmation","en_gestion","en_organisation","prog_ennuyant","pratik_amel","meilleur_prog","plus_de_robotik","filles_moins_prog","aime_prog","prog_fun_team","robotik_interet","hard_robotik","hard_prog","useless_challenge","happy_help","good_team","serious_input","ask_adult","ask_teamate","student_help_robotik","influence_teamates","suggestions_followed","take_initiatives","solo_worker","split_work","unorganized_team","trained_forr2t2","I.was.not.always.asking.my.teammates.their.opinion.in.what.I.was.doing...Don.t.know","We.splitted.the.work.equally.between.the.team.members...Strongly.agree","We.splitted.the.work.equally.between.the.team.members...Agree","We.splitted.the.work.equally.between.the.team.members...Disagree","We.splitted.the.work.equally.between.the.team.members...Strongly.disagree","We.splitted.the.work.equally.between.the.team.members...Don.t.know","Our.team.was.noisy.and.disordely...Strongly.agree","Our.team.was.noisy.and.disordely...Agree","Our.team.was.noisy.and.disordely...Disagree","Our.team.was.noisy.and.disordely...Strongly.disagree","Our.team.was.noisy.and.disordely...Don.t.know","I.use.my.imagination","I.try.things.out","I.use.the.programming.environment.correctly","I.check.my.work","Other.people.have.told.me.that.I.am.good","I.know.how.to.code","I.know.how.to.type","I.talk.about.my.ideas.with.others","I.enjoy.programming","I.don.t.know","Other","Happy","Sociable","Geeky.nerds","Outgoing.confident","Hasn.t.got.lots.of.friends","Intelligent","Creative","Someone.who.will.do.well.in.life","Use.his.her.imagination","Try.things.out","Use.the.programming.environment.correctly","Check.his.her.work","Know.how.to.code","Know.how.to.type","Discuss.his.her.ideas.with.others","Enjoy.programming","I.don.t.know.1","Have.you.got.some.specific.training..programming.robotics..for.this.day..in.a.group.or.individually."
"1",5080030006,93710474,"11/06/2016 18:17:23","11/06/2016 19:02:22","89.169.203.11",12,"Russia","male","1","1","1","4","4","4","4","4","2","2","2","2","2","2","2","3","3","3","2","2","2","2","2","2","2","3","2","3","2","3","2",NA,NA,2,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,8,9,NA,NA,NA,NA,NA,NA,NA,6,7,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA
"2",5079032290,93710474,"11/05/2016 13:44:03","11/06/2016 08:50:16","5.35.85.234",11,"Russia","male","2","2","1","3","2","1","2","4","2","3","2","5","2","1","2","3","2","3","2","2","2","3","2","2","3","3","3","3","3","3","2",NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,2,NA,4,NA,6,7,8,9,NA,11,1,2,NA,4,NA,NA,NA,8,1,2,3,4,5,6,NA,8,NA,NA
"3",5077880127,93710474,"11/04/2016 17:07:06","11/04/2016 17:12:40","31.173.85.127",12,"Russia","female","1","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",5077839476,93710474,"11/04/2016 16:51:11","11/04/2016 16:54:21","185.32.135.16",12,"Russia","male","2","1","1","4","4","4","4","5","4","3","2","1","","2","3","2","","3","3","5","4","3","2","2","2","","2","2","2","3","1",NA,NA,2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,1,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,1
"5",5077637868,93710474,"11/04/2016 15:17:07","11/04/2016 15:37:34","89.22.60.228",11,"Russia","male","1","1","1","2","4","2","3","5","4","4","5","4","3","4","3","4","4","3","3","4","3","2","3","3","3","2","3","3","2","3","1",NA,NA,2,NA,NA,NA,NA,NA,3,NA,NA,1,2,3,4,5,6,NA,8,9,NA,NA,1,2,NA,NA,NA,6,7,NA,1,NA,NA,NA,5,NA,NA,8,NA,1
"6",5075054614,93710474,"11/03/2016 09:39:30","11/03/2016 09:40:11","5.90.3.148",47,"Italy","male","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",5073867759,93710474,"11/02/2016 17:29:59","11/02/2016 17:37:02","105.225.164.98",15,"South Africa","male","2","1","1","4","2","4","3","3","2","2","1","2","2","1","2","3","2","3","5","2","5","2","2","2","2","3","2","3","2","3","1",NA,NA,2,NA,NA,NA,NA,NA,3,NA,NA,NA,2,NA,4,5,6,NA,NA,9,NA,NA,1,2,NA,4,NA,NA,7,NA,1,2,NA,4,NA,NA,7,8,NA,1
"8",5073654069,93710474,"11/02/2016 15:55:40","11/02/2016 16:12:32","82.189.93.21",13,"Italy","female","2","2","2","2","3","2","3","3","5","3","5","2","3","2","4","3","2","5","3","1","2","3","5","3","5","3","3","5","2","2","2",5,NA,2,NA,NA,NA,NA,2,NA,NA,NA,1,NA,3,NA,NA,6,7,NA,9,NA,NA,NA,NA,NA,NA,NA,6,7,NA,1,NA,3,4,5,6,NA,NA,NA,NA
"9",5073648463,93710474,"11/02/2016 15:53:50","11/02/2016 16:12:05","82.189.93.21",13,"Italy","male","2","2","1","1","3","2","2","2","1","2","5","5","1","5","1","3","4","4","1","4","5","2","1","1","2","3","1","2","1","2","1",NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,3,4,NA,NA,NA,8,9,NA,NA,NA,NA,3,NA,NA,6,NA,NA,NA,2,3,4,NA,NA,7,8,NA,1
"10",5073646494,93710474,"11/02/2016 15:53:17","11/02/2016 16:16:02","82.189.93.21",13,"Italy","male","2","2","2","2","3","3","4","3","1","3","5","","1","1","2","1","1","4","1","2","2","2","4","2","1","3","5","2","3","2","1",NA,NA,NA,3,NA,NA,NA,2,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,9,NA,NA,1,2,NA,4,NA,6,7,NA,1,2,3,4,5,6,7,8,NA,1
